ComplexName,AmenityID,AmenityName
Creekside at Legacy,1,Dog & Cat Friendly
Creekside at Legacy,2,Fitness Center
Creekside at Legacy,3,Pool
Creekside at Legacy,14,Dishwasher
Creekside at Legacy,15,Refrigerator
Creekside at Legacy,16,Kitchen
Creekside at Legacy,9,In Unit Washer & Dryer
Creekside at Legacy,10,Walk-In Closets
Lakeshore at Preston,1,Dog & Cat Friendly
Lakeshore at Preston,2,Fitness Center
Lakeshore at Preston,3,Pool
Lakeshore at Preston,14,Dishwasher
Lakeshore at Preston,15,Refrigerator
Lakeshore at Preston,16,Kitchen
Lakeshore at Preston,9,In Unit Washer & Dryer
Lakeshore at Preston,10,Walk-In Closets
Wellington at Willow Bend,1,Dog & Cat Friendly
Wellington at Willow Bend,2,Fitness Center
Wellington at Willow Bend,3,Pool
Wellington at Willow Bend,14,Dishwasher
Wellington at Willow Bend,15,Refrigerator
Wellington at Willow Bend,16,Kitchen
Wellington at Willow Bend,9,In Unit Washer & Dryer
Wellington at Willow Bend,10,Walk-In Closets
Bridgemoor @ Plano,1,Dog & Cat Friendly
Bridgemoor @ Plano,2,Fitness Center
Bridgemoor @ Plano,3,Pool
Bridgemoor @ Plano,14,Dishwasher
Bridgemoor @ Plano,15,Refrigerator
Bridgemoor @ Plano,16,Kitchen
Bridgemoor @ Plano,9,In Unit Washer & Dryer
Bridgemoor @ Plano,10,Walk-In Closets
Prestonwood Hills,1,Dog & Cat Friendly
Prestonwood Hills,2,Fitness Center
Prestonwood Hills,3,Pool
Prestonwood Hills,14,Dishwasher
Prestonwood Hills,15,Refrigerator
Prestonwood Hills,16,Kitchen
Prestonwood Hills,9,In Unit Washer & Dryer
Prestonwood Hills,10,Walk-In Closets
Mission Gate,1,Dog & Cat Friendly
Mission Gate,2,Fitness Center
Mission Gate,3,Pool
Mission Gate,14,Dishwasher
Mission Gate,15,Refrigerator
Mission Gate,16,Kitchen
Mission Gate,9,In Unit Washer & Dryer
Mission Gate,10,Walk-In Closets
Woodlands of Plano,1,Dog & Cat Friendly
Woodlands of Plano,2,Fitness Center
Woodlands of Plano,3,Pool
Woodlands of Plano,14,Dishwasher
Woodlands of Plano,15,Refrigerator
Woodlands of Plano,16,Kitchen
Woodlands of Plano,9,In Unit Washer & Dryer
Woodlands of Plano,10,Walk-In Closets
LaSalle,1,Dog & Cat Friendly
LaSalle,2,Fitness Center
LaSalle,3,Pool
LaSalle,14,Dishwasher
LaSalle,15,Refrigerator
LaSalle,16,Kitchen
LaSalle,9,In Unit Washer & Dryer
LaSalle,10,Walk-In Closets
Gramercy on the Park,1,Dog & Cat Friendly
Gramercy on the Park,2,Fitness Center
Gramercy on the Park,3,Pool
Gramercy on the Park,14,Dishwasher
Gramercy on the Park,15,Refrigerator
Gramercy on the Park,16,Kitchen
Gramercy on the Park,9,In Unit Washer & Dryer
Gramercy on the Park,10,Walk-In Closets
Ferro,1,Dog & Cat Friendly
Ferro,2,Fitness Center
Ferro,3,Pool
Ferro,14,Dishwasher
Ferro,15,Refrigerator
Ferro,16,Kitchen
Ferro,9,In Unit Washer & Dryer
Ferro,10,Walk-In Closets
Marquis at Legacy,1,Dog & Cat Friendly
Marquis at Legacy,2,Fitness Center
Marquis at Legacy,3,Pool
Marquis at Legacy,14,Dishwasher
Marquis at Legacy,15,Refrigerator
Marquis at Legacy,16,Kitchen
Marquis at Legacy,9,In Unit Washer & Dryer
Marquis at Legacy,10,Walk-In Closets
Legacy,1,Dog & Cat Friendly
Legacy,2,Fitness Center
Legacy,3,Pool
Legacy,14,Dishwasher
Legacy,15,Refrigerator
Legacy,16,Kitchen
Legacy,9,In Unit Washer & Dryer
Legacy,10,Walk-In Closets
Junction 15,1,Dog & Cat Friendly
Junction 15,2,Fitness Center
Junction 15,3,Pool
Junction 15,14,Dishwasher
Junction 15,15,Refrigerator
Junction 15,16,Kitchen
Junction 15,9,In Unit Washer & Dryer
Junction 15,10,Walk-In Closets
The Encore,1,Dog & Cat Friendly
The Encore,2,Fitness Center
The Encore,3,Pool
The Encore,14,Dishwasher
The Encore,15,Refrigerator
The Encore,16,Kitchen
The Encore,9,In Unit Washer & Dryer
The Encore,10,Walk-In Closets
Old Shepard Place,1,Dog & Cat Friendly
Old Shepard Place,2,Fitness Center
Old Shepard Place,3,Pool
Old Shepard Place,14,Dishwasher
Old Shepard Place,15,Refrigerator
Old Shepard Place,16,Kitchen
Old Shepard Place,9,In Unit Washer & Dryer
Old Shepard Place,10,Walk-In Closets
The Ellington Apartments,1,Dog & Cat Friendly
The Ellington Apartments,2,Fitness Center
The Ellington Apartments,3,Pool
The Ellington Apartments,14,Dishwasher
The Ellington Apartments,15,Refrigerator
The Ellington Apartments,16,Kitchen
The Ellington Apartments,9,In Unit Washer & Dryer
The Ellington Apartments,10,Walk-In Closets
Villas at Legacy,1,Dog & Cat Friendly
Villas at Legacy,2,Fitness Center
Villas at Legacy,3,Pool
Villas at Legacy,14,Dishwasher
Villas at Legacy,15,Refrigerator
Villas at Legacy,16,Kitchen
Villas at Legacy,9,In Unit Washer & Dryer
Villas at Legacy,10,Walk-In Closets
The Point At Deerfield Apartments,1,Dog & Cat Friendly
The Point At Deerfield Apartments,2,Fitness Center
The Point At Deerfield Apartments,3,Pool
The Point At Deerfield Apartments,14,Dishwasher
The Point At Deerfield Apartments,15,Refrigerator
The Point At Deerfield Apartments,16,Kitchen
The Point At Deerfield Apartments,9,In Unit Washer & Dryer
The Point At Deerfield Apartments,10,Walk-In Closets
Colonnade at Willow Bend,1,Dog & Cat Friendly
Colonnade at Willow Bend,2,Fitness Center
Colonnade at Willow Bend,3,Pool
Colonnade at Willow Bend,14,Dishwasher
Colonnade at Willow Bend,15,Refrigerator
Colonnade at Willow Bend,16,Kitchen
Colonnade at Willow Bend,9,In Unit Washer & Dryer
Colonnade at Willow Bend,10,Walk-In Closets
La Costa,1,Dog & Cat Friendly
La Costa,2,Fitness Center
La Costa,3,Pool
La Costa,14,Dishwasher
La Costa,15,Refrigerator
La Costa,16,Kitchen
La Costa,9,In Unit Washer & Dryer
La Costa,10,Walk-In Closets
Evana Grove,1,Dog & Cat Friendly
Evana Grove,2,Fitness Center
Evana Grove,3,Pool
Evana Grove,14,Dishwasher
Evana Grove,15,Refrigerator
Evana Grove,16,Kitchen
Evana Grove,9,In Unit Washer & Dryer
Evana Grove,10,Walk-In Closets
Bel Air Oaks,1,Dog & Cat Friendly
Bel Air Oaks,2,Fitness Center
Bel Air Oaks,3,Pool
Bel Air Oaks,14,Dishwasher
Bel Air Oaks,15,Refrigerator
Bel Air Oaks,16,Kitchen
Bel Air Oaks,9,In Unit Washer & Dryer
Bel Air Oaks,10,Walk-In Closets
Avalon at Chase Oaks,1,Dog & Cat Friendly
Avalon at Chase Oaks,2,Fitness Center
Avalon at Chase Oaks,3,Pool
Avalon at Chase Oaks,14,Dishwasher
Avalon at Chase Oaks,15,Refrigerator
